file,course,source,start,end,text
1.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:00:21,00:00:34,do not worry about your difficulties in mathematics i can assure you mine are still greater albert einstein let us count is the title of this chapter probably i am confusing you all probably you are wondering this sounds like a kindergarten lesson why are we taught how to count
1.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:00:34,00:00:57,we of course know how to count so let me ask this question do you really know how to count do we really know how to count counting is not necessarily counting the number of chocolates in the palm of a kid counting is a lot more than that let me illustrate this with a very nice question
10.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:00:02,00:00:23,what did you just now see you saw that one person could take a picture in precisely one way now that was a very boring case right there is nothing interesting there because you can probably take another picture in a different location that is what going to change the picture
10.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:00:23,00:00:53,but then imagine two people taking this photo they can take this photo in two different ways right two how about three people lets say a b and c lets see in how many ways they can take the picture so how do we solve this question the question is this there are these three people a b c in how many ways can you arrange
10.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:00:53,00:01:16,them and take a picture each of these three people right one way would be abc in this order the other way would be a remains in the same place while c and b swap their locations now they are done this is the second option the third one would be and just repeating what we saw in the video because i am interested
10.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:01:16,00:01:39,right now in coming on with a formula given n people given three people a b c a c b and then lets say b in the first place a and c in the second and third place next again b as it is and a c swapped then finally c here a b here and the last option would be c b a
10.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:01:39,00:02:00,now my question is have we exhausted all the possibilities probably yes how about you are sure that you have not left out a possibility thats because we went step by step we saw all possible ways in which a in the first place can take pictures b in the first place can take pictures
10.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:02:00,,c in the first place can take pictures right there is no way we would have left out a possibility here so there are six possibilities as you can see correct perfect now how about doing this for four things a b c and d let us see
100.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:03,0:28,now an important note specially for computer science students you can look up this concept called sat problem its called the satisfiability problem its a very important problem in computer science and it is not known to be its known to be not so easy to solve this okay what is the problem
100.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:28,0:57,assume you are given several see we have only being seeing p q and so on lets assume we have several columns here ab c d e f g h and i so that makes it lets include j also columns and i have a complicated boolean expression which involves all these ten variables ab c d e f
100.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:57,1:25,g h i and j now the question is tell me if there is assignment to ab c d e f g h i j which makes the boolean expression becomes so what do i mean by this these are all inputs to my boolean circuit you see is there a input that gives the answer as
